lat, long, city, addresstype
-4.4137734,18.294121461812438,Bandundu,historic
-3.3201862,17.3774958,Bandundu,city
-3.5247721,17.427263138711396,Bandundu,health
0.5764665,29.46259132417703,Bandundu,health
-4.394647150000001,15.381896120509872,Quartier 12,city
-3.0090575,16.9297707,Rue Bandundu,road
-4.4135706,15.3229637,Bandundu,road
-4.3821978,15.3832821,Bandundu,road
-4.4100241,15.3606623,Bandundu,road
0.47606519999999997,29.189300190040722,Beni,municipality
0.4939335,29.4653222,Beni,city
0.3974023,29.211717843210657,Beni,county
-0.2836634,20.8826368,Boende,city
-0.54003635,21.002968754786966,Boende,health
-5.85,13.05,Boma,city
-4.41825505,15.385534638920046,Boma,city
-5.8746307,12.8346258,Congo,river
-4.37235,17.87857,Kimwanza Boma,village
-4.418288,15.3859211,Boma,quarter
-2.5055839,28.8594885,Bukavu,city
-4.1884205,28.9430335,Bukavu,village
1.5620529,30.2478844,Bunia,city
2.7932581,24.7287054,Buta,city
0.12460345,29.289273009581915,Butembo,county
0.1249694,29.2919545,Butembo,city
-5.5911096,29.3582843,Butembo,village
4.2812396,20.9999077,Gbadolite,town
0.5111557,29.500632936334014,Gbadolite,suburb
0.3466189,25.136749,Gbadolite,village
4.2579858999999995,20.909963026687503,Gbadolite,health
3.2549286,19.7750831,Gemena,city
-11.711303149999999,27.470648834155227,Gemena,city_district
3.2112546,19.825086754006314,Gemena,health
-1.6665685,29.225652,Goma,city
-6.386627,19.2133012,Goma,village
-3.4202177,12.3951821,Goma,hamlet
-1.65377185,29.180184978268763,Goma,city_district
-4.4022159,15.386749598893784,Quartier 11,city
-1.9253353,18.2863998,Inongo,town
-1.8715798,18.502168098253787,Inongo,health
-5.0512745500000005,18.809878360232744,Inongo,health
-3.0101559,16.9199228,Rue Inongo,road
2.7742702,27.6208169,Isiro,city
2.8006494,27.690403667571342,Isiro (village/mboka),residential
-6.1368376,24.4862256,Kabinda,town
-9.8618121,26.5011834,Kabinda,stream
-9.7355021,26.3868882,Kabinda,stream
-6.40440225,24.647577342766233,Lomami,state
-6.40440225,24.647577342766233,Kabinda,county
-7.09604475,23.750782538717054,Congo,health
-6.244146949999999,24.441647156956744,Kabinda,health
0.1150667,29.267448977336592,Kabinda,health
-6.2743541,23.619230570885968,Kabinda,health
-4.4002392,15.4153802,Kabinda,road
-5.9460209,29.1967172,Kalemie,city
0.528504,29.3139426,Kalemie,village
-8.7351826,25.0032201,Kamina,city
-11.715517550000001,27.45839758606783,Kamina,city_district
-11.71964405,27.45240604363326,Kamina,city_district
-4.7284862,16.7830753,Kamina,village
-5.4755102,26.2131599,Kamina,village
-5.8951725,22.408589,Kananga,city
-4.82543,17.88284,Kananga,village
-9.0915105,23.9006746,Kananga,village
-4.3312715,29.221098,Kananga,hamlet
-4.71759805,17.27172344284289,Kenge,health
-4.8059503,17.038692,Kenge,city
0.4651019,29.1103464,Kenge,village
-4.3578013,15.2898838,Kenge,road
-4.3979441,15.3791332,Kenge,road
-4.3888857,15.3891928,Kenge,road
-4.3609781,15.2992941,Kenge,road
-4.4192864,15.3263069,Kenge,road
-4.3623101,15.3034769,Kenge,road
-4.3597968,15.2958894,Kenge,road
-5.0383083,18.8178447,Kikwit,city
-5.0610453,18.808744282510744,Kikwit,county
-2.9493766,25.9184499,Kailo,city
-5.9289091,29.1921784,Kindu,neighbourhood
-4.3196982,15.3424196,Kinshasa,state
-4.3217055,15.3125974,Kinshasa,city
0.5184021,25.2057292,Kisangani,city
1.54225895,30.24488689343394,Kisangani,city_block
0.5024464,25.2417755,Kisangani,suburb
3.3359388,18.6935028,Kisangani,village
-10.73864205,25.49482437283848,Kolwezi,county
-10.7169952,25.4669918,Kolwezi,city
-10.9891601,26.7397418,Likasi,city
-7.047389,29.778444,Likasi,village
2.1473937,21.5156742,Lisala,city
-3.2907778,17.39453075925436,Lisala,city
-4.33227935,15.268992392949526,Lisala,city
1.1033282,19.7401893,Lisala,village
3.2146317,18.750381,Lisala,village
-1.2361329,28.1039339,Lisala,village
-11.6642316,27.4826264,Lubumbashi,city
-4.349558350000001,15.306109574725085,Lubumbashi,city
-11.7105737,27.482447996848737,Lubumbashi,city_district
-11.62828655,27.459003916295323,Lubumbashi,suburb
-11.5759614,27.3806536,Lubumbashi,river
-11.5950191,27.4366946,Lubumbashi,river
-11.6947354,27.4699774,Lubumbashi,river
-11.7034724,27.4724131,Lubumbashi,river
-11.6344626,27.4575019,Lubumbashi,river
0.590692,28.7268258,Lubumbashi,village

-6.1094951,23.612934124246713,Lusambo,city
-4.9736384,23.4432792,Lusambo,town
-3.85558,29.0932801,Lusambo,village
-4.9222912,23.13863461859714,Lusambo,health
-6.7491136,23.994308234932603,Lusambo,health
-5.79740005,13.494820298074796,Matadi,county
-5.8256559,13.4609047,Matadi,city
-6.783333,21.616667,Matadi,village
-2.3520861,27.1646389,Matadi,village
-4.3972589,15.417701317304417,Matadi,city
0.0470732,18.2564803,Mbandaka,city
-5.09361,17.62189,Mbandaka,village
0.5917926,29.4818464,Mbandaka,neighbourhood
-5.159783,17.069385,Mbandaka,farm
-6.1258942,23.5998111,Mbuji-Mayi,city
-7.7187808,23.2159388,Mbuji-Mayi,river
-6.6324433,23.4348167,Mbuji-Mayi,river
-6.907991,23.2862603,Mbuji-Mayi,river
-7.006496,23.4487976,Mwene-Ditu,city
-6.9357235500000005,23.39194478683224,Mwene-Ditu,health
-6.934423300000001,23.390878166396476,Mwene Ditu,health
-4.4265116,15.4242835,Mwene ditu,road
-6.63992685,20.540541321259425,Tshikapa,health
-6.4230495,20.7887691,Tshikapa,city
-6.4192574,20.7737341,Tshikapa,road
